z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
51716,60074,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Kildeer,Palatine,IL,Cook,0,0
51720,60074,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Palatine,Palatine,IL,Cook,0,1
51721,60075,7,6.25,,0.75,049-5000-6,,,0,,Russell,Russell,IL,Lake,0,1
51722,60076,9.5,6.25,,2.25,016-5000-1,1,016-0045-1,0,,Skokie,Skokie,IL,Cook,0,1
51723,60077,9.5,6.25,,2.25,016-5000-1,1,016-0045-1,0,,Skokie,Skokie,IL,Cook,0,1
51724,60078,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Palatine,Palatine,IL,Cook,0,1
51725,60079,8,6.25,,0.75,049-5000-6,1,049-0001-4,0,,Waukegan,Waukegan,IL,Lake,0,1
51726,60081,7,6.25,,0.75,056-5000-6,,,0,,Spring Grove,Spring Grove,IL,McHenry,0,1
51727,60082,8.5,6.25,,2.25,016-5000-1,,,0,,Techny,Techny,IL,Cook,0,1
51728,60083,7,6.25,,0.75,049-5000-6,,,0,,Beach Park,Wadsworth,IL,Lake,0,0
51730,60083,7,6.25,,0.75,049-5000-6,,,0,,Old Mill Creek,Wadsworth,IL,Lake,0,0
51731,60083,7,6.25,,0.75,049-5000-6,,,0,,Wadsworth,Wadsworth,IL,Lake,0,1
51736,60084,7,6.25,,0.75,049-5000-6,,,0,,Lake Barrington,Wauconda,IL,Lake,0,0
51738,60084,7,6.25,,0.75,049-5000-6,,,0,,Wauconda,Wauconda,IL,Lake,0,1
51739,60085,8,6.25,,0.75,049-5000-6,1,049-0071-5,0,,Park City,Waukegan,IL,Lake,0,0
51740,60085,8,6.25,,0.75,049-5000-6,1,049-0001-4,0,,Waukegan,Waukegan,IL,Lake,0,1
51742,60086,7,6.25,,0.75,049-5000-6,,,0,,Selective Service,North Chicago,IL,Lake,0,0
51741,60086,7,6.25,,0.75,049-5000-6,,,0,,North Chicago,North Chicago,IL,Lake,0,1
51743,60087,8,6.25,,0.75,049-5000-6,1,049-0001-4,0,,Beach Park,Waukegan,IL,Lake,0,0
51744,60087,8,6.25,,0.75,049-5000-6,1,049-0001-4,0,,Waukegan,Waukegan,IL,Lake,0,1
51745,60088,7,6.25,,0.75,049-5000-6,,,0,,Great Lakes,Great Lakes,IL,Lake,0,1
51746,60088,7,6.25,,0.75,049-5000-6,,,0,,North Chicago,Great Lakes,IL,Lake,0,0
51747,60089,8,6.25,,0.75,049-5000-6,1,049-0043-1,0,,Buffalo Grove,Buffalo Grove,IL,Lake,0,1
51751,60090,9.5,6.25,,2.25,016-5000-1,1,016-0070-2,0,,Wheeling,Wheeling,IL,Cook,0,1
